product_name,brands,energy_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,sugars_100g,salt_100g
Solid Dark Chocolate,The Madelaine Chocolate Company,2201.0,5.26,57.89,31.58,5.3,50.0,0.03302
Milk Chocolate Malt Balls,The Madelaine Chocolate Company,2197.0,5.0,67.5,27.5,0.0,60.0,0.3175
"The Madelaine Chocolate Company, Solid Milk Chocolate",Madelaine Chocolate Novelties,2326.0,8.33,58.33,33.33,2.8,55.56,0.21082
"The Madelaine Chocolate Company, Solid Dark Chocolate",Madelaine Chocolate Novelties,2209.0,5.56,58.33,33.33,5.6,50.0,0.03556
"The Madelaine Chocolate Company, Solid Milk Chocolate Bunnies",Madelaine Chocolate Novelties,2272.0,5.71,57.14,31.43,2.9,54.29,0.18034
"The Madelaine Chocolate Company, Solid Milk Chocolate Chicks",Madelaine Chocolate Novelties,2314.0,7.89,57.89,31.58,2.6,55.26,0.20066
Romaine Hearts,Ocean Mist Farms,75.0,1.18,3.53,0.0,2.4,1.18,0.01524
Romaine,Ocean Mist Farms,75.0,1.18,3.53,0.0,2.4,1.18,0.01524
Green Leaf Lettuce,Ocean Mist Farms,75.0,1.18,2.35,0.0,1.2,1.18,0.10414
Fresh Spinach,Cean Mist Farms,100.0,2.35,3.53,0.0,2.4,0.0,0.19304
Cooking Spinach,Ocean Mist,100.0,2.35,3.53,0.0,2.4,0.0,0.19304
Quick Cook Sprout Halves,Ocean Mist Farms,176.0,3.57,9.52,0.0,3.6,2.38,0.06096
Celery,Ocean Mist,59.0,0.0,3.64,0.0,1.8,1.82,0.2667
Season & Steam Kalettes (Kale Sprouts),Ocean Mist Farms,222.0,4.71,7.06,0.0,2.4,1.18,0.20828
"Feletti, Pralines Candy, Milk Chocolate",Better Ideas,2209.0,5.56,61.11,30.56,2.8,55.56,0.24638
"Feletti, Milk Chocolate Pralines",Better Ideas,2264.0,2.7,59.46,32.43,2.7,56.76,0.20574
"Ryan's, Juice Melange, Fuji Pom Blend",Ryan Orchards,192.0,0.0,11.67,0.0,0.0,10.42,0.0381
"Ryan's, Lemonade",Ryan Orchards,226.0,0.0,13.33,0.0,0.0,13.33,0.01016
"Ryan's, Spiced Apple Cider",Ryan Orchards,192.0,0.0,11.25,0.0,0.4,10.0,0.0254
"Ryan's, Pink Lady, Apple Cider",Ryan Orchards,192.0,0.42,11.67,0.0,0.0,8.33,0.01524
"Ryan's, Organic Juice, Apple",Ryan Orchards,192.0,0.0,11.67,0.0,0.0,10.42,0.04318
"Ryan's, Opal Blend Melange, Apple Cider",Ryan Orchards,192.0,0.42,11.67,0.0,0.0,8.33,0.01524
"Fruit Strip Snacks, Mango, Pineapple","Sobe,  Healthy Food Brands Llc",1343.0,0.0,78.57,0.0,7.1,64.29,0.09144
Fruit Twist Snacks Blueberry Pomec-Ranate,"Sobe,  Healthy Food Brands Llc",1343.0,0.0,78.57,0.0,7.1,64.29,0.09144
"Healthy Food Brands, A&W, Soda Bottles Gummy Candies With Real A&W Root Beer",Healthy Food Brands Llc,1046.0,5.0,65.0,0.0,0.0,42.5,0.0635
"Emojeez, Gummies, Assorted Fruits",Healthy Food Brands Llc,1151.0,5.0,67.5,0.0,0.0,40.0,0.03048
"Emojeez, Gummies Candy, Fruit",Healthy Food Brands Llc,1151.0,5.0,67.5,0.0,0.0,40.0,0.03048
"Emojeez, Fruit Flavored Gummies, Green Apple, Orange, Fruit Punch, Lemon, Cherry Blue Raspberry",Healthy Food Brands Llc,1151.0,5.0,67.5,0.0,0.0,40.0,0.03048
Gummies,Healthy Food Brands Llc,1151.0,5.0,67.5,0.0,0.0,40.0,0.03048
"Emojeez, Fruit Gummies, Assorted",Healthy Food Brands Llc,1151.0,5.0,67.5,0.0,0.0,40.0,0.03048
"Emojeez, Gummies Candy, Fruit",Healthy Food Brands Llc,1151.0,5.0,67.5,0.0,0.0,40.0,0.03048
"Lite, Fine Chocolate Candy Bar, Dark Chocolate","Simply,  Simply Natural Foods  Llc.",1674.0,4.0,60.0,32.0,12.0,0.0,0.0
Sour Fruit Gummies,Candy Crush,1360.0,5.0,75.0,0.0,0.0,57.5,0.127
Jelly Fish,Candy Crush,586.0,0.0,34.0,0.0,0.0,24.0,0.0762
"Hfb Candy, Candy Crush Color Bombs",Healthy Food Brands Llc,1883.0,2.5,77.5,17.5,5.0,75.0,0.0
"Hfb Candy, Jelly Fish Candy",Healthy Food Brands Llc,1464.0,0.0,85.0,0.0,0.0,60.0,0.1905
"Angry Birds, Fruit Snack, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry",Healthy Food Brands Llc,1197.0,7.14,71.43,0.0,0.0,42.86,0.0
Freeze-Dried Apple Slices,"Welch's,  Healthy Food Brands Llc",1494.0,3.57,92.86,0.0,10.7,75.0,0.0
Freeze-Dried Banana & Strawberry Slices,"Welch's,  Healthy Food Brands Llc",1343.0,3.57,85.71,0.0,14.3,64.29,0.0
Freeze-Dried Mango Slices,"Welch's,  Healthy Food Brands Llc",1494.0,3.57,89.29,1.79,10.7,78.57,0.0
Freeze-Dried Grapes,"Welch's,  Healthy Food Brands Llc",1477.0,0.0,94.12,0.0,2.9,82.35,0.14986
Freeze-Dried Apple Slices,"Welch's,  Healthy Food Brands Llc",1464.0,0.0,90.0,0.0,10.0,70.0,0.0
"Freeze-Dried Fruit Slices, Banana & Strawberry","Welch's,  Healthy Food Brands Llc",1464.0,0.0,90.0,0.0,10.0,60.0,0.0
Freeze-Dried Mango Slices,"Welch's,  Healthy Food Brands Llc",1464.0,0.0,90.0,0.0,10.0,80.0,0.0
Freeze-Dried Grapes,"Welch's,  Healthy Food Brands Llc",1569.0,0.0,91.67,0.0,0.0,83.33,0.10668
"Wholesome & Delicious Dried Cranberries, Concord Grape",Welch's,1360.0,0.0,82.5,0.0,5.0,75.0,0.0
"Dried Cranberries, Pomegranate Flavor","Welch's,  Healthy Food Brands Llc",1360.0,0.0,82.5,0.0,5.0,75.0,0.0
"Dried Cranberries, Blueberry","Welch's,  Healthy Food Brands Llc",1360.0,0.0,82.5,0.0,5.0,75.0,0.0
Dried Cranberries,Welch's,1360.0,0.0,82.5,0.0,5.0,75.0,0.0
Dried Mediterranean Apricots,"Welch's,  Healthy Food Brands Llc",941.0,2.5,55.0,0.0,5.0,32.5,0.0
Dried Honey Crisp Apples,Welch's,1255.0,0.0,72.5,0.0,7.5,75.0,0.0
Wholesome & Delicious Dried Mangos,Welch's,1464.0,0.0,85.0,0.0,2.5,65.0,0.4445
"Triple Fruit Treat, Mango, Cranberries, Blueberries","Welch's,  Healthy Food Brands Llc",1456.0,0.0,82.61,0.0,4.4,73.91,0.0
Red Apple Chips,"Welch's,  Healthy Food Brands Llc",1594.0,0.0,90.48,0.0,14.3,76.19,0.36322
"Pb&J Trail Mix, Grape","Welch's,  Healthy Food Brands Llc",1971.0,9.41,51.76,25.88,4.7,44.71,0.47752
"Pb & J Trail Mix, Strawberry","Welch's,  Healthy Food Brands Llc",1971.0,9.41,51.76,25.88,4.7,40.0,0.47752
"Pb&J Trail Mix, Grape","Welch's,  Healthy Food Brands Llc",1971.0,9.41,51.76,25.88,4.7,44.71,0.47752
Red Apple Chips,"Welch's,  Healthy Food Brands Llc",1644.0,0.0,92.86,0.0,10.7,78.57,1.63322
Golden Apple Chips,"Welch's,  Healthy Food Brands Llc",1644.0,0.0,92.86,0.0,10.7,78.57,1.63322
Green Apple Chips,"Welch's,  Healthy Food Brands Llc",1644.0,0.0,92.86,0.0,10.7,78.57,1.63322
Fruit Gummies,Angry Birds,1255.0,7.5,70.0,0.0,0.0,37.5,0.09652
Fruit Gummies Candy,Angry Birds,1255.0,7.5,70.0,0.0,0.0,37.5,0.09652
